fav_game_type,time_to_click,time_to_fall
STORY_RICH,2.474,7.0727686545105
SURVIVAL,1.7693214285714285,6.2377425025422
ACTION,2.288883333333333,6.6741919644811
FPS,2.2950769230769232,6.9648943199892
HACK_AND_SLASH,3.12,6.962224597764
HORROR,3.5690000000000004,7.5039281904017
LOGIC,1.9955882352941174,7.8556125900945
MMO,2.1706,6.6451617490135
PLATFORM,2.3938571428571427,6.6421100029259
RPG,2.382142857142857,6.891427510655
RTS,1.7126666666666666,7.6778881921443
SANDBOX,2.0889583333333346,7.4695618267521
SIMULATION,2.2837037037037042,7.6692528986496
STORY_RICH,2.2818333333333336,6.8167055832188
SURVIVAL,2.0898076923076925,6.6141922821116
ACTION,2.3245466666666674,7.6720388094933
FPS,2.505208333333333,7.4073208444922
HACK_AND_SLASH,2.6905,7.4863243261779
HORROR,3.145666666666667,6.8369885623764
LOGIC,1.8126666666666664,7.6795677149755
MMO,2.1047499999999997,6.8665904432117
PLATFORM,2.4855,7.3428396349654
RPG,2.113658536585366,7.1503468918385
RTS,2.3558888888888885,6.9641718943151
SANDBOX,1.8392500000000003,7.7084689183248
SIMULATION,2.0728636363636364,7.8703228551187
STORY_RICH,2.3747999999999996,6.9228490239901
SURVIVAL,1.8715000000000008,7.414995057578
ACTION,2.250405063291139,7.499767910546
FPS,2.2871250000000005,7.7417197298363
HACK_AND_SLASH,2.685666666666666,6.6771995249256
HORROR,3.5353333333333334,7.4398770767305
LOGIC,2.1952,5.8404580474272
MMO,2.6603333333333334,6.6661312465443
PLATFORM,2.5378333333333334,7.4378769464183
RPG,2.1988000000000003,7.0267572747753
RTS,2.8464444444444443,7.6674996315474
SANDBOX,1.9255121951219512,7.0894959097624
SIMULATION,2.1439642857142855,7.8599352621546
STORY_RICH,2.514714285714286,7.5103987728387
SURVIVAL,1.7526190476190473,7.3500758522407
ACTION,2.2377236842105264,7.8432059782778
FPS,2.0487000000000006,6.6791109323677
HACK_AND_SLASH,1.803,7.3943967937116
HORROR,3.462571428571429,7.569627759525
LOGIC,2.0041875,6.9066750733627
MMO,2.51,7.1832171102525
PLATFORM,2.1866666666666665,7.3072487913018
RPG,2.2910999999999997,7.2834068705864
RTS,2.458666666666667,7.8421860937695
SANDBOX,1.9212307692307695,7.2564239683604
SIMULATION,2.2713870967741934,6.7838167361844
STORY_RICH,2.0625384615384617,7.6046513121412
SURVIVAL,1.876842105263158,7.016771129962
ACTION,2.4380441176470584,7.6116862919167
FPS,2.352260869565218,7.1154509082243
HACK_AND_SLASH,2.0996666666666663,7.2910929531789
HORROR,3.2718000000000003,6.9724271761564
LOGIC,2.277615384615385,7.0236125477508
MMO,2.2876666666666665,6.8200221403256
PLATFORM,2.3939999999999997,7.2285742651037
RPG,1.9229767441860466,7.854284846898
RTS,2.585153846153846,7.6334042615846
SANDBOX,1.9427547169811317,7.657291998407
SIMULATION,2.3384374999999995,6.6366742950294
STORY_RICH,2.2445,7.0832132714743
SURVIVAL,2.17156,7.7077556826816
ACTION,2.4930394736842114,7.2726490143268
FPS,2.38348275862069,7.8213109551054
HACK_AND_SLASH,1.95825,7.3510054937947
HORROR,3.3955,6.863576419757
LOGIC,1.9835882352941174,6.8591981655226
MMO,2.4344444444444444,7.2788832820488
PLATFORM,2.4915000000000003,7.7433107193072
RPG,2.132390243902439,5.9770131676545
RTS,2.252125,7.745350182248
SANDBOX,2.008714285714286,7.5723274230572
SIMULATION,2.421379310344828,6.6262038915955
STORY_RICH,2.6243636363636367,7.014867394396
SURVIVAL,1.83948,7.3125064651777
ACTION,2.4029000000000003,7.6236399126993
FPS,2.0988518518518515,7.289451887951
HORROR,3.0978000000000003,6.8355398006854
LOGIC,2.165857142857143,7.8406353923402
MMO,2.9273999999999996,7.7329999606326
PLATFORM,3.0714285714285716,7.3939300386722
RPG,1.8940624999999998,7.3131344646622
RTS,2.971,7.4610594691129
SANDBOX,2.1271304347826088,6.9712494187312
SIMULATION,2.2871428571428574,7.1213732107586
STORY_RICH,1.8875714285714287,7.2286565094862
SURVIVAL,1.7826153846153845,7.3809325023474
ACTION,2.370469879518073,7.6066388117991
FPS,2.177785714285714,7.6881421741946
HACK_AND_SLASH,2.343,7.5964094395105
HORROR,3.1808,7.097872676436
LOGIC,2.217111111111111,6.0675847948393
MMO,2.4412857142857143,7.5980774163992
PLATFORM,3.2872,7.0325230332586
RPG,2.179628571428571,7.4720910414259
RTS,2.863,7.1009901408006
SANDBOX,1.8264901960784312,6.7422576234269
SIMULATION,2.3266249999999995,7.3800482315535
