work_type,time_to_click,time_to_fall
BURNT_OUT,1.7015652173913045,7.3194573355861
MENTAL,2.7599189189189177,7.2617421787901
MIXED,2.169,6.6408140550095
PHYSICAL,2.665,6.925483087927
STUDENT,2.0679868421052627,7.2347606938671
WORKING_STUDENT_MENTAL,2.154284090909091,7.7504388253703
WORKING_STUDENT_PHYSICAL,2.7768,7.5484453214297
BURNT_OUT,1.8924615384615384,7.0082577415147
MENTAL,2.3553676470588236,7.1553729471486
MIXED,2.192142857142857,7.032324696456
STUDENT,2.1700707070707077,7.1518225809707
WORKING_STUDENT_MENTAL,2.09453488372093,6.8634011450924
WORKING_STUDENT_PHYSICAL,2.52425,6.9384599472513
BURNT_OUT,1.884,7.5175383540642
MENTAL,2.3517066666666655,7.2991396448345
MIXED,2.0484999999999998,6.3159013845246
STUDENT,2.1111170212765966,7.0685818986836
WORKING_STUDENT_MENTAL,2.2079907407407413,7.4102966116192
WORKING_STUDENT_PHYSICAL,2.441,7.384224465678
BURNT_OUT,1.8345999999999998,7.0101316077772
MENTAL,2.209166666666666,7.7956346465017
MIXED,1.745,7.0333166799867
PHYSICAL,3.596,7.2030128474726
STUDENT,2.28569411764706,6.6641212647548
WORKING_STUDENT_MENTAL,2.1894859813084113,6.6018202554138
WORKING_STUDENT_PHYSICAL,2.4462,6.8330643301993
BURNT_OUT,1.742,6.1103239600303
MENTAL,2.3239687500000006,7.2280875306695
MIXED,1.5953333333333335,7.4684757529132
PHYSICAL,3.634,6.7254058476425
STUDENT,2.14247572815534,7.288055401956
WORKING_STUDENT_MENTAL,2.279877777777778,7.7174068292839
WORKING_STUDENT_PHYSICAL,2.249833333333333,6.8607894266778
BURNT_OUT,1.5103478260869565,7.7274447727065
MENTAL,2.476819672131146,7.0632055155196
MIXED,2.072,6.870795089526
PHYSICAL,3.4749999999999996,6.9572384028343
STUDENT,2.1697733333333336,7.0748812599611
WORKING_STUDENT_MENTAL,2.1449135802469144,7.8526268614014
WORKING_STUDENT_PHYSICAL,2.489666666666667,7.837952715922
BURNT_OUT,1.9410833333333333,7.0462415291639
MENTAL,2.2400232558139543,7.2469391022207
STUDENT,1.9065494505494498,7.5367568838376
WORKING_STUDENT_MENTAL,2.0216190476190485,7.2992993165729
WORKING_STUDENT_PHYSICAL,1.8476666666666668,7.1909586277553
BURNT_OUT,1.8830833333333334,6.1186175010411
MENTAL,2.277242424242424,7.4514720083577
MIXED,2.0119999999999996,7.2767224633688
PHYSICAL,5.5169999999999995,6.7553156410406
STUDENT,2.1063142857142862,7.7993812911879
WORKING_STUDENT_MENTAL,2.2514725274725276,7.678368955233
WORKING_STUDENT_PHYSICAL,1.79575,7.6620990758222
BURNT_OUT,1.6823124999999999,7.4359317772181
MENTAL,2.301157142857143,6.1576471802882
MIXED,2.5145,6.2745124799332
PHYSICAL,2.874,7.1641324783247
STUDENT,2.1058977272727266,7.0246725310701
WORKING_STUDENT_MENTAL,2.1926547619047625,7.1257925507087
WORKING_STUDENT_PHYSICAL,1.9658000000000002,6.7650208469669
BURNT_OUT,1.87885,6.5046929096359
MENTAL,2.269597402597403,7.8735385102865
MIXED,2.417,6.8296081061613
STUDENT,2.0868309859154923,7.0442321541838
WORKING_STUDENT_MENTAL,2.335029702970297,7.5845713683942
WORKING_STUDENT_PHYSICAL,1.9953333333333332,7.3784853692812
BURNT_OUT,1.9405000000000001,6.6484413411218
MENTAL,2.3108545454545455,6.6845599421064
MIXED,3.692,5.9183313877744
STUDENT,2.1851558441558447,6.4641225898431
WORKING_STUDENT_MENTAL,2.1599574468085105,7.3021139407966
WORKING_STUDENT_PHYSICAL,2.858333333333334,7.15980957524
BURNT_OUT,1.8031052631578952,7.2235597834694
MENTAL,2.3398684210526324,6.1866885891211
MIXED,1.8945,7.5146173741823
PHYSICAL,3.503,7.3214892626915
STUDENT,1.8777702702702692,6.4008448256539
WORKING_STUDENT_MENTAL,2.154259259259259,6.8628352867774
WORKING_STUDENT_PHYSICAL,2.3506,6.6161967715743
BURNT_OUT,1.6524666666666663,7.1757732654165
MENTAL,2.3746176470588236,7.3223190434557
MIXED,1.9184285714285718,7.2109595224293
STUDENT,2.0642142857142862,6.9776526299644
WORKING_STUDENT_MENTAL,2.0690208333333344,7.0859696336598
WORKING_STUDENT_PHYSICAL,2.4295000000000004,7.2669181447256
BURNT_OUT,1.7505652173913042,7.0339404172789
MENTAL,2.282746478873239,6.5209287879195
MIXED,1.925,6.8652105533773
PHYSICAL,3.544,7.4960565031857
STUDENT,2.1345490196078427,7.6040401246668
WORKING_STUDENT_MENTAL,2.2645882352941187,7.8804268594141
WORKING_STUDENT_PHYSICAL,2.010333333333333,7.4848769615246
BURNT_OUT,1.785705882352941,6.4272913406055
MENTAL,2.458532258064517,7.1641754577379
MIXED,2.3396,6.7739137442323
STUDENT,2.1161962616822434,7.0796963004801
WORKING_STUDENT_MENTAL,2.259875000000001,6.3379498849703
WORKING_STUDENT_PHYSICAL,2.1493333333333333,6.6176700411276
